Kalifornien;39250017
Texas;2786259
Florida;20612439
New York;19745289
Illinois;12801539
Pennsylvania;12784227
Ohio;11614373
Georgia;10310653
North Carolina;10146787
Michigan;9928301
New Jersey;8944469
Virginia;8411807
Washington;7288003
Arizona;6931071
Massachusetts;6811779
Indiana;6633053
Tennessee;6651195
Missouri;6093001
Maryland;6016447
Wisconsin;5778707
Colorado;5540545
Minnesota;5519951
South Carolina;4961119
Alabama;4863301
Louisiana;4681665
Kentucky;4436973
Oregon;4093465
Oklahoma;3923561
Connecticut;3576451
Puerto Rico;3411307
Iowa;3134693
Utah;3051217
Mississippi;2988725
Nevada;2940059
Arkansas;2937979
Kansas;2907289
New Mexico;2081015
Nebraska;1907115
West Virginia;1831101
Idaho;1683141
Hawaii;1428557
New Hampshire;1334795
Maine;1331479
Rhode Island;1052425
Montana;1042521
Delaware;952065
South Dakota;865453
Alaska;741893
North Dakota;757951
District of Columbia;681171
Vermont;624593
Wyoming;585501
